Model/Category,Philosophy,Economics,Jurisprudence,Pedagogy,Literature,History,Science,Engineering,Agronomy,Medicine,Management,Art Studies,Xiezhi Overall,MMLU Overall,C-Eval Overall,M3KE Overall
Human-Average,0.453,0.52,0.46,0.51,0.56,0.46,0.394,0.38,0.333,0.43,0.513,0.4,,,,
Human-Top,0.856,0.871,0.761,0.854,0.825,0.854,0.926,0.928,0.902,0.805,0.857,0.821,,,,
Alpaca-7b,,,,,,,,,,,,,,,,0.142
Alpaca-lora-7b,,,0.192,,0.206,0.192,,0.224,,,,0.227,0.194,,,
Baize-healthcare-lora-7B,,,,,0.284,0.181,,,,0.279,,0.417,,,,
Baize-lora-13B,,,,0.244,0.249,,,,,,,0.229,,,,
Baize-lora-30B,,,,,,,,,,,0.375,,,,,
Baize-lora-7B,,0.222,0.230,,0.213,0.202,,,,,0.268,,0.200,,,
Belle-7B-0.2M,0.228,,0.217,0.251,0.194,0.214,0.191,,0.216,0.223,0.268,0.238,0.211,,,0.203
Belle-7B-0.6M,,,,,,,0.197,,,,,,,,,
Belle-7B-1M,0.226,0.255,0.199,0.237,,0.207,0.210,0.215,,0.210,0.259,,0.209,,,
Bloomz-3b,,,,,,,,,,,,,,,,
Bloomz-7b1,,,,,,,,,,,,,,,,
Bloomz-7b1-mt,,,,,,,,,,,,,,,,
Bloomz-mt,0.453,0.31,,0.442,0.405,0.272,0.408,0.387,0.366,,,0.377,0.337,0.266,0.204,0.161
ChatGPT,0.477,,0.213,0.280,,0.233,0.220,0.412,0.311,0.265,,0.339,0.267,0.240,0.286,0.290
Doctorglm-6b,,,,,,,,,,0.253,,,,,,
Falcon-40b-instruct,,,,,,,,,,,,,,,,0.141
Falcon-7b,,0.233,,,,,,0.228,,,,,,,,
Falcon-7b-instruct,,0.214,,,,,,,,,,,,,,
GPT-4,0.413,0.419,0.368,0.472,0.417,0.437,0.436,0.42,0.515,0.469,0.39,0.437,0.431,0.402,0.413,0.404
Llama-13b,,,,,,,,,,,,,,0.166,0.152,
Llama-65b,,,,,,,,,,,,,,0.143,0.154,
Llama-65b-hf,,0.290,0.323,0.237,,,,,,,,,,,,
Llama-7b,,,,,,,,,,,,,,,,0.158
Llama-7b-hf,0.241,0.234,0.210,,,,,,,,,,,,,0.158
Moss-moon-003-base,,,,,,,,,,,,0.224,,,,
Pythia-1.4b,0.321,,,0.241,,,,,0.193,,,,,,,
Pythia-2.8b,,,,,,,,,,,0.367,,,,,
Stablelm-7b,,,,,,,,,,,,,,0.158,,0.14
Vicuna-13b-delta-v1.1,0.223,,,,,,,,,,,,,,,
Vicuna-7b-delta-v1.1,,,,,,,0.188,,,,,,0.191,,,
