Model,pass@1
GPT-4-Turbo (Nov 2023)🗒️,⚡81.7
GPT-4 (May 2023)🗒️,⚡76.8
DeepSeek-Coder-33B-instruct🗒️,⚡72.6
MagicoderS-DS-6.7B,⚡70.7
DeepSeek-Coder-6.7B-instruct🗒️,⚡70.1
Phind-CodeLlama-34B-v2,⚡67.1
MagicoderS-CL-7B,⚡66.5
GPT-3.5-Turbo (Nov 2023)🗒️,⚡65.9
WizardCoder-Python-34B-V1.0🗒️,⚡64.6
GPT-3.5 (May 2023)🗒️,⚡64
DeepSeek-Coder-1.3B-instruct🗒️,⚡58.5
WizardCoder-15B-V1.0🗒️,⚡45.1
DeepSeek-Coder-33B-base,⚡43.3
CodeLlama-34B,⚡42.7
WizardCoder-Python-7B-V1.0🗒️,⚡40.9
Mistral-codealpaca-7B,⚡40.9
DeepSeek-Coder-6.7B-base,⚡39.6
CodeLlama-13B,⚡36.6
CodeLlama-7B,⚡34.1
StarCoder-15B,⚡29.3
CodeGen-16B,⚡27.4
CodeT5+-16B,⚡26.2
CodeGen-6B,⚡25.6
CodeT5+-6B,⚡23.8
Mistral-7B,⚡23.2
Zephyr β-7B,⚡23.2
CodeT5+-2B,⚡22
CodeGen-2B,⚡21.3
StarCoder-7B,⚡20.7
CodeGen2-7B,⚡16.5
CodeGen2-16B,⚡16.5
Vicuna-13B,⚡15.2
StarCoder-3B,⚡14.6
CodeGen2-3B,⚡12.8
SantaCoder-1.1B,⚡12.8
InCoder-6.7B,⚡12.2
StarCoder-1B,⚡11
Vicuna-7B,⚡11
InCoder-1.3B,⚡10.4
GPT-J-6B,⚡10.4
CodeGen2-1B,⚡9.1
GPT-Neo-2.7B,⚡6.7
PolyCoder-2.7B,⚡5.5
StableLM-7B,⚡2.4
