Model,pass@1
GPT-4 (May 2023)🗒️,88.4
GPT-4-Turbo (Nov 2023)🗒️,85.4
DeepSeek-Coder-33B-instruct🗒️,78.7
MagicoderS-DS-6.7B,76.8
DeepSeek-Coder-6.7B-instruct🗒️,73.8
GPT-3.5 (May 2023)🗒️,73.2
WizardCoder-Python-34B-V1.0🗒️,73.2
GPT-3.5-Turbo (Nov 2023)🗒️,72.6
Phind-CodeLlama-34B-v2,71.3
MagicoderS-CL-7B,70.7
DeepSeek-Coder-1.3B-instruct🗒️,64.6
WizardCoder-15B-V1.0🗒️,51.9
CodeLlama-34B,51.8
DeepSeek-Coder-33B-base,51.2
WizardCoder-Python-7B-V1.0🗒️,48.2
Mistral-codealpaca-7B,48.2
DeepSeek-Coder-6.7B-base,47.6
CodeLlama-13B,42.7
CodeLlama-7B,37.8
StarCoder-15B,34.1
CodeGen-16B,32.9
CodeT5+-16B,31.7
Zephyr β-7B,30
CodeT5+-6B,29.3
CodeGen-6B,29.3
Mistral-7B,28.7
CodeT5+-2B,25
StarCoder-7B,24.4
CodeGen-2B,24.4
CodeGen2-16B,19.5
CodeGen2-7B,18.3
StarCoder-3B,17.7
Vicuna-13B,17.1
CodeGen2-3B,15.9
InCoder-6.7B,15.9
StarCoder-1B,14.6
SantaCoder-1.1B,14.6
InCoder-1.3B,12.2
GPT-J-6B,12.2
Vicuna-7B,11.6
CodeGen2-1B,11
GPT-Neo-2.7B,7.9
PolyCoder-2.7B,6.1
StableLM-7B,2.4
