Model,pass@1
GPT-4-Turbo (Nov 2023)🗒️,⚡70.7
GPT-3.5-Turbo (Nov 2023)🗒️,⚡69.4
DeepSeek-Coder-33B-instruct🗒️,⚡66.7
MagicoderS-DS-6.7B,⚡64.4
DeepSeek-Coder-6.7B-instruct🗒️,⚡63.4
WizardCoder-Python-34B-V1.0🗒️,⚡59.9
DeepSeek-Coder-6.7B-base,⚡56.6
MagicoderS-CL-7B,⚡56.6
DeepSeek-Coder-1.3B-instruct🗒️,⚡53.1
CodeLlama-34B,⚡52.9
CodeLlama-13B,⚡50.9
WizardCoder-15B-V1.0🗒️,⚡50.6
WizardCoder-Python-7B-V1.0🗒️,⚡47.1
DeepSeek-Coder-1.3B-base,⚡46.9
StarCoder-15B,⚡46.1
CodeLlama-7B,⚡45.4
CodeT5+-16B,⚡44.4
CodeGen-16B,⚡43.6
CodeGen-6B,⚡42.1
Mistral-7B,⚡40.9
CodeT5+-6B,⚡40.9
CodeT5+-2B,⚡36.6
CodeGen-2B,⚡35.1
Zephyr β-7B,⚡34.3
StarCoder-7B,⚡28.8
