Model,pass@1
GPT-4-Turbo (Nov 2023)🗒️,83
GPT-3.5-Turbo (Nov 2023)🗒️,81.7
DeepSeek-Coder-33B-instruct🗒️,78.7
MagicoderS-DS-6.7B,75.4
WizardCoder-Python-34B-V1.0🗒️,73.2
DeepSeek-Coder-6.7B-instruct🗒️,72.7
DeepSeek-Coder-6.7B-base,70.2
MagicoderS-CL-7B,68.4
CodeLlama-34B,67.2
DeepSeek-Coder-1.3B-instruct🗒️,63.7
WizardCoder-15B-V1.0🗒️,61.9
CodeLlama-13B,61.2
CodeLlama-7B,57.6
WizardCoder-Python-7B-V1.0🗒️,56.6
DeepSeek-Coder-1.3B-base,55.4
StarCoder-15B,55.1
CodeT5+-16B,54.6
CodeGen-16B,52.6
CodeT5+-6B,51.9
Mistral-7B,50.1
CodeGen-6B,49.9
CodeT5+-2B,46.4
CodeGen-2B,44.9
Zephyr β-7B,41.1
StarCoder-7B,33.1
