Model,Win Rate,Perplexity,Weight,UID,Block
"deepnetguy/gemma-124 (423340c3, UID=213)",0.8383,1.5625,0.1121,213,2577261
"zzttbrdd/sn6_01g_test (d34a20c8, UID=255)",0.4805,2.0156,0.0551,255,2577473
"heyllm234/sn6_models2 (8e8b08f9, UID=208)",0.3887,1.6719,0.0458,208,2577842
"rwh/gemma2 (fcc2435d, UID=246)",0.5312,1.5938,0.1476,246,2577943
"tomaszki/gemma-43 (d27f7634, UID=124)",0.6522,1.6562,0.0069,124,2577892
"heyllm234/sn6_models2 (9d19f48a, UID=216)",0.3035,1.7109,0.0392,216,2577917
"tomaszki/gemma-44 (e347fef3, UID=185)",0.552,1.6562,0.002,185,2578259
"Aspik101/Bosbonasus111 (f2efc06a, UID=215)",0.4472,1.6562,0.0018,215,2578005
"liquid9212/gemma_new-11 (2ad50658, UID=242)",0.724,1.5625,0.0181,242,2577884
"qwedsacf/gemma-7 (12a04c9a, UID=212)",0.395,2.0312,0.0108,212,2577526
"Aspik101/ft044 (19d2e694, UID=236)",0.1872,1.875,0.0004,236,2578056
