Distribution,Mean,Median,IQR,Gini Coefficient
Evaluation Metrics across Leaderboard Systems,3.195767195767196,2.0,3.0,
Evaluation Records across Leaderboard Systems,183.84331797235023,23.0,48.75,0.8718007454164735
Leaderboard Systems across Display Formats,66.0909090909091,5.0,69.5,0.8104539202200828
Leaderboard Systems across Downloadable Formats,7.5,2.0,2.5,0.7952380952380952
Leaderboard Systems across Evaluation Metrics,2.2706766917293235,1.0,1.0,0.5010621017118615
Leaderboard Systems across Platforms,122.0,106.5,54.0,0.2513661202185792
Leaderboard Systems across Publication Venues,3.885245901639344,1.0,1.0,0.6464135021097054
Leaderboard Systems across Release Organizations,3.4468085106382977,1.0,1.0,0.6277725018465767
Leaderboard Systems across Workflow Pattern,25.0,5.5,35.0,0.7241735537190086
Leaderboard Systems across Workflow Patterns,25.0,5.5,35.0,0.7241735537190086
Leaderboards across Leaderboard Systems,6.5691244239631335,1.0,1.0,0.7914786999902087
Participative Models across Leaderboard Systems,74.44930875576037,17.0,27.5,
Release Organizations across Leaderboard Systems,2.5346938775510206,2.0,2.0,
