Leaderboard name,#Empty leaderboards (non-pwc),Downloadable format,Evaluation workflows (non-pwc),Organization strategies (non-pwc),Platforms,Platforms with model linkage (non-pwc),Presentation formats (non-pwc),Publication venues,Release organizations (non-pwc),Submission channels (non-pwc),Participatory models,Evaluation metrics (pwc),Organization strategies,Release organizations,Supported benchmarks,#Supported benchmark,#Presentation format,#Organization strategy,#Release organization,#Host platform,#Evaluation record,#Participatory model,#Leaderboard,#Evaluation metric (pwc)
A-OKVQA,,[],['nan'],[],['Papers With Code'],,"{'Papers With Code': ['Sortable Table', 'Scatter Plot']}",['ECCV'],[],set(),"['KRISP', 'PromptCap', 'Pythia', 'PaLI-X-VPD', 'Prophet', 'ViLBERT - OK-VQA', 'ViLBERT - VQA', 'ViLBERT', 'LXMERT', 'GPV-2']","['mc accuracy', 'da vqa score']",{'Task'},{'Papers With Code'},['A-OKVQA'],1.0,2.0,1.0,1.0,1.0,10.0,10.0,1.0,2.0
A-OKVQA,,['CSV'],['6'],[],['independent platform'],yes,"{'independent platform': ['Sortable Table', 'Scatter Plot']}",['ECCV'],['Allen Institute for AI'],{'Submission Portal'},"['ttt', 'try', 'try-o', 'TEST-MLLM', 'yytt', 'kkkk', '354345435345664536', 'fluffAI', 'fv2ph', 'ufy1', '008', 'cot', 'mo', 'Pali-3-VPD', 'PaLI-X-VPD', 'broken', 'test llama', 'SMoLA-PaLI-X Specialist Model', 'sad', 'ViLBERT', '西瓜king', 'adapter', 'Anonymous', 'baseline', 'part3', 'promptcap_002_submit.json', 'pica_002_mc', 'ewqwe3432424', 'test set submission', 'BaselineReimp-LLAMA-7B', 'gixy', '111', 'JustTestv55567', '010', 'ans', '003', 'VL-Transformer-C', 'Baseline LLaVA', 'unicorn', 'firsttry', 'llll', 'ict2', 'test-vigaa-v2', 'T6_4', 'test3', 'Test - Text-based', 'xxx', 'SMoLA test1', 'Test - Baseline LLaVA', 'abhsh', '005', 'b2v7b', 'T6_5', 'suowei', 'VERR', 'TEST-vqa', 'obsidian', 'user123', 'GPT3 model', '011', 'reproduce', 'anonyopt', 'whl', 'nlx-gpt', '002 MC test', 'anonymous model', 'zjhu test', '007', 'bs001', 'Anonymous VLM', 'filter_promptcap', 'anonyv2', '006', 'randomwalker_submission', 'JustTestv555', 'MER-MULTICOT-MC-Blip2', 'anony', 'UMAE', 'T5_1', 'filter_pica_submit', 'c2a', 'dabizi', 'b2flxxl', 'obsidian-proj-sub1', 'anonymity', 'WEI SUO', '黑马', 'cot-reason', 'anonygpt', 'Test_30B', 'try best', 'test MC', 'anony_ours', 'try1', 'ass', 'KRISP', 'T6_6', 'pc2a3', 'InstructBLIP', 'test2', '009', 'T8_6', 'testforda', 'Just try2', '012', 'true test', 'PromptCap', 'llava_sft', 'VL-Transformer', 'rev_large', 'MRGT-T5', 'lamma-2', 'trym0', 'Lamma-1', 'ib2', 'Anony', 'wuu1', 'llama2-13_rl-2k-ofa_test_submit', 'anm pic', 'aurora', 'anony_instructBLIP_reproduce_aok_vqa', 'User1235', 'T8_8', 'partval', 'anonymous', 'test  val_6_test_002_top1_fuse_witholdMC', 'cedoyac1', '0-shot SMoLA-PaLI-X Generalist  Model', 'gixen1', 'Random Chance', 'ict0', 'Predictions', 'testx', 'kkkkkkkk', 'just_a_try', 'GPV-2', '43534543534', 'reproduce insblip', 'predictions_test_2-5', '004', 'Anonymous model', 'anonyfl', 'test1', 'Lan', 'vqa_result_aokvqa_format', 'ttttry', 'nsddd', 'testtmp', 'strangerv30', 'bss', 'MER-MULTICOT-MC-Instructblip', 'test0', 'tag', 'fv1n', '002', '000', 'Prophet', 'test', 'Test_7B', 'ewf', 'testt', 'test fuse', 'JustTestv13', 'Test_30B1', 'just_try', 'mart-T5', 'few-shot by opt-6.7B model', 'User1236', 'aok333', 'bororo', 'aokbs1', 'mmulAOK', 'TEST', 'test1228', 'test instructblip', 'LXMERT', 'fv2', 'dasdasdsa', 'Test2', 'promptcap+text-davinci-002', 'zam01', 'T8_7', 'test 002', 'suo', '014', 'nyusubmission', 'Test Image', 'lamma2 mcan', 'Prophet-MC', 'maily', 'rand', 'Vision-CoT', '013', 'pc2a2', 'T8_5', 'pc2a', 'test_aokvqa666', 'poorSubmission', 'instruct_blip_7b', 'RobustVL', 'TEST1', '001', 'Zhiqing Sun', 'ens', 'fv1', 'VQA', 'c2a2', 'LLaVA 1.5v 7B', 'VL-Reasoner', 'LLaVA variant', 'PICa-002', 'few-shot by opt model', 'ai4code', 'none', '123', 'QAprompt-Clip-8', 'lora', 'cot_base', 'QAPrompt-Clip-8-13B']",set(),[],{'Allen Institute for AI'},['A-OKVQA'],1.0,2.0,0.0,1.0,1.0,305.0,219.0,1.0,
ACE (2005),,[],['nan'],[],['Papers With Code'],,"{'Papers With Code': ['Sortable Table', 'Scatter Plot']}",['AAAI'],[],set(),"['FCM', 'Ours: cross-sentence ALB', 'ASP+T5-3B', 'Table-Sequence', 'PFN', 'MRT', 'Hierarchical Multi-task', 'Dual Pointer Network', 'DYGIE++', 'Walk-based model', 'Multi-turn QA', 'SPTree', 'DyGIE', 'GoLLIE', 'PL-Marker', 'Joint w/ Global', 'Global', 'GCN', 'Span-level', 'MRC4ERE++', 'TablERT', 'HySPA', 'TriMF', 'RNN+CNN', 'CNN', 'MGE', 'Attention']","['re micro f1', 'sentence encoder', 'cross sentence', 're+ micro f1', 'relation classification f1', 'ner micro f1', 'relation f1']",{'Task'},{'Papers With Code'},['ACE'],1.0,2.0,1.0,1.0,1.0,29.0,27.0,1.0,7.0
ACLUE,,[],['2'],[],['GitHub'],yes,{'GitHub': ['Regular Table']},['RANLP'],['Mohamed bin Zayed University of AI'],set(),"['LLaMA-65B', 'ChatGPT', 'ChatGLM-6B', 'BLOOMZ-7B', 'Baichuan-7B', 'ChatGLM2-6B', 'MOSS-SFT-16B', 'Falcon-40B', 'Random']",set(),[],{'Mohamed bin Zayed University of AI'},['ACLUE'],1.0,1.0,0.0,1.0,1.0,9.0,9.0,1.0,
ActivityNet,,[],['nan'],[],['Papers With Code'],,"{'Papers With Code': ['Sortable Table', 'Scatter Plot']}",['CVPR'],[],set(),"['ActionFormer', 'AVFusion', 'Singularity', 'BSN', 'TAGS', 'DiffusionRet', 'PRN+BMN', 'VSGN', 'Singularity-temporal-17M', 'AdaTAD', 'CLIP4Clip', 'DiffusionRet+QB-Norm', 'HunYuan_tvr', 'GCM', 'CLIP-ViP', 'VideoCoCa', 'Ours', 'BMN', 'PRN', 'UMT-L', 'X-CLIP', 'EMCL-Net', 'DMAE', 'Collaborative Experts', 'UnLoc-L', 'TCANet', 'E2E-TAD', 'VALOR', 'Singularity-temporal-5M', 'TESTA', 'HBI', 'SSN', 'CAMoE', 'HD-VILA', 'BC-GNN', 'MMT', 'TadTR', 'G-TAD+BSP', 'BSN++', 'TSP', 'EMCL-Net++', 'SSTAP@100%+', 'P-GCN', 'BT-Adapter', 'CenterCLIP', 'TACo', 'InternVideo', 'LoFi+G-TAD', 'MMT-Pretrained', 'VAST', 'TriDet', 'G-TAD', 'DCAN', 'LanguageBind', 'HiTeA']","['map iou@0.75', 'map', 'map iou@0.95', 'median rank', 'recall@1', 'map iou@0.5', 'recall@50', 'recall@5', 'mean rank', 'recall@10']",{'Task'},{'Papers With Code'},['ActivityNet'],1.0,2.0,1.0,1.0,1.0,59.0,55.0,3.0,10.0
ActivityNet Captions,,[],['nan'],[],['Papers With Code'],,"{'Papers With Code': ['Sortable Table', 'Scatter Plot']}",['ICCV'],[],set(),"['COOT', 'VideoCoCa', 'VLTinT', 'MART', 'VLCap']","['bleu-4', 'meteor', 'rouge-l', 'bleu-3', 'cider']",{'Task'},{'Papers With Code'},['ActivityNet Captions'],1.0,2.0,1.0,1.0,1.0,5.0,5.0,1.0,5.0
ActivityNet-QA,,[],['nan'],[],['Papers With Code'],,"{'Papers With Code': ['Sortable Table', 'Scatter Plot']}",['AAAI'],[],set(),"['Just Ask', 'Singularity', 'TESTA', 'Video Chat', 'Chat-UniVi-13B', 'E-VQA', 'LLaMA Adapter V2', 'MovieChat', 'All-in-one+', 'FrozenBiLM', 'LLaMA-VID-7B', 'BT-Adapter', 'VideoCoCa', 'Singularity-temporal', 'Video-LLaVA', 'UMT-L', 'Video-ChatGPT', 'GPT-2 + CLIP-32', 'VideoChat2', 'E-MN', 'E-SA', 'VIOLET+', 'LLaMA-VID-13B', 'FrozenBiLM+', 'Text + Text', 'GPT-2 + CLIP-14 + CLIP-multilingual', 'VALOR']","['accuracy', 'confidence score']",{'Task'},{'Papers With Code'},['ActivityNet-QA'],1.0,2.0,1.0,1.0,1.0,27.0,27.0,1.0,2.0
ADE20K,,[],['nan'],[],['Papers With Code'],,"{'Papers With Code': ['Sortable Table', 'Scatter Plot']}",['IJCV'],[],set(),"['ACNet', 'A2MIM', 'GPaCo', 'DAT-S', 'CSWin-L', 'RR', 'UniRepLKNet-L++', 'DCNAS', 'BiFormer-B', 'SenFormer', 'DiNAT-Mini', 'InternImage-B', 'XCiT-S12/8', 'SeMask', 'FASeg', 'TransNeXt-Small', 'ConvNeXt-L++', 'SwinV2-G-HTC++ Liu et al.', 'InternImage-L', 'LaU-regression-loss', 'ConvMLP-S', 'SegFormer-B0', 'Light-Ham', 'NAT-Mini', 'MAE', 'PatchConvNet-L120', 'Swin-B', 'TransNeXt-Tiny', 'HRNetV2 + OCR + RMI', 'HRViT-b2', 'InternImage-XL', 'NAT-Small', 'CPN', 'VAN-Large', 'Shift-S', 'DAT-T', 'Shift-T', 'tiny-MOAT-1', 'ResNeSt-269', 'DPT-Hybrid', 'PSPNet', 'VOLO-D5', 'Sequential Ensemble', 'DiNAT-Large', 'InternImage-T', 'OCR', 'ViT-Adapter-L', 'Shift-B', 'tiny-MOAT-3', 'SPNet', 'UniRepLKNet-S', 'InternImage-S', 'MasK DINO', 'XCiT-M24/8', 'Focal-L', 'Asymmetric ALNN', 'ConvNeXt-XL++', 'Swin V2-H', 'PSANet', 'Frozen Backbone, SwinV2-G-ext22K', 'tiny-MOAT-0', 'M3I Pre-training', 'DDP', 'UniRepLKNet-S++', 'ConvNeXt V1-B', 'HRViT-b1', 'K-Net', 'Seg-L-Mask/16', 'tiny-MOAT-2', 'FD-SwinV2-G', 'TEC', 'EVA', 'MOAT-4', 'UniRepLKNet-XL', 'PatchConvNet-B120', 'DRAN', 'EncNet', 'BEiT-L', 'CAE', 'ConvNeXt-S', 'UniRepLKNet-B++', 'PoolFormer-M48', 'SGR', 'TransNeXt-Base', 'MogaNet-B', 'SegFormer-B4', 'ConvNeXt V2-L', 'Swin-L', 'FCN', 'FocalNet-L', 'DiNAT_s-Large', 'InternImage-H', 'Twins-SVT-L', 'HRViT-b3', 'GC ViT-S', 'CrossFormer', 'LaU-offset-loss', 'ConvNeXt V1-L', 'DiNAT-L', 'CondNet', 'DaViT-B', 'MogaNet-XL', 'ConvNeXt-T', 'dBOT ViT-L', 'VAN-Tiny', 'dBOT ViT-B', 'SegFormer-B5', 'Seg-B-Mask/16', 'MogaNet-S', 'ResNeSt-101', 'ELSA-Swin-S', 'ConvNeXt-B++', 'XCiT-S24/8', 'iBOT', 'PyConvSegNet-152', 'EncNet + JPU', 'MultiMAE', 'RevCol-H', 'GC ViT-B', 'ConvMLP-L', 'ConvNeXt-B', 'MOAT-2', 'FaPN', 'Seg-B/8', 'HRNetV2', 'TADP', 'NAT-Tiny', 'DAT-B', 'ConvMLP-M', 'ResNeSt-200', 'Mask2Former+CBL', 'PatchDiverse + Swin-L', 'FBNetV5', 'RefineNet', 'DINOv2', 'ConvNeXt V2-B', 'Mask2Former', 'EANet', 'GC ViT-T', 'SETR-MLA', 'VAN-B6', 'MaskFormer+CBL', 'RSSeg-ViT-L', 'DSSPN', 'SwinV2-G', 'NAT-Base', 'HorNet-L', 'SegViT-v2', 'PatchConvNet-S60', 'ActiveMLP-L', 'UperNet Shuffle-B', 'ONE-PEACE', 'MogaNet-L', 'EfficientViT-B3', 'SegNet', 'DiNAT-Small', 'DiNAT-Tiny', 'Upernet-BiFormer-S', 'Auto-DeepLab-L', 'VAN-Small', 'BEiT-3', 'ConvNeXt V2-H', 'HamNet', 'UperNet Shuffle-T', 'DilatedNet', 'DNL', 'MUXNet-m + PPM', 'MaskFormer', 'VAN-Base', 'DaViT-T', 'UniRepLKNet-T', 'MOAT-3', 'PatchConvNet-B60', 'LV-ViT-L', 'DiNAT-Base', 'CFNet', 'MUXNet-m + C1', 'Swin-T', 'UperNet']","['validation miou', 'gflops', '#parameters', 'test score']",{'Task'},{'Papers With Code'},['ADE20K'],1.0,2.0,1.0,1.0,1.0,219.0,179.0,1.0,4.0
AgentBench,,[],['2'],[],"['GitHub', 'independent platform']",,"{'GitHub': ['Bar Chart', 'Table Screenshot'], 'independent platform': ['Regular Table']}",['report'],"['Tsinghua University', 'Ohio State University', 'University of California Berkeley']",set(),"['koala-13b', 'vicuna-13b', 'text-davinci-002', 'wizardlm-30b', 'chatglm-6b', 'llama2-13b-chat', 'openchat-8192', 'vicuna-7b', 'gpt-3.5-turbo', 'oasst-sft-4-pythia-12b', 'internlm-chat-7b', 'dolly-v2-12b', 'text-davinci-003', 'wizardlm-13b', 'chatglm2-v0.2', 'claude-v1.3', 'baichuan-13b-chat', 'codegeex2-6b', 'claude-instant-v1.1', 'text-bison-001', 'gpt-4', 'openchat_v3.2', 'wizardcoder', 'llama2-7b-chat', 'baichuan-7b']",set(),[],"{'University of California', 'Ohio State University', 'Tsinghua University'}","['WebShop', 'ALFWorld', 'Mind2Web']",3.0,3.0,0.0,3.0,2.0,25.0,25.0,1.0,
AI Model Rankings,,['CSV'],['2'],"['Evaluator', 'Task', 'Aggregated Result', 'Supported Functionality']","['Hugging Face Spaces', 'independent platform']",,"{'Hugging Face Spaces': ['Sortable Table'], 'independent platform': ['Sortable Table']}",['report'],['University of Hong Kong'],set(),"['ChatGLM3-6B', '通义千问2（qwen-max）', '千帆-llama2', 'GPT3.5-Turbo', '文心一言4（ERNIEBot-4）', 'GPT4', 'MiniMax（abab5.5-chat）', 'ChatGLM3 -6B', '360智脑（360GPT_S2_V9）', 'BLOOMZ-7B', 'GPT4-turbo', 'GPT4-Turbo', '悟道・天鹰（AquilaChat-7B', '悟道・天鹰（AquilaChat-7B）', '商汤日日新（Sensenova）', '百川（baichuan2-13b-chat-v1）', '讯飞星火v3.0', '文心一言4（ERNIE-Bot4.0）', 'GPT-3.5-turbo']",set(),"['Evaluator', 'Task', 'Aggregated Result', 'Supported Functionality']",{'University of Hong Kong'},"['SuperCLUE', 'OCNLI', 'AGIEval', 'LCSTS', 'CNewSum', 'GSM8K', 'Self-Instruct', 'Flores-101', 'CValues', 'CMMLU', 'Safety Prompts']",11.0,1.0,4.0,1.0,2.0,98.0,19.0,7.0,
