Distribution,Mean,Median,IQR,Gini Coefficient
Evaluated Models across Leaderboard Systems,67.50599520383693,16.0,25.0,
Evaluation Metrics across Leaderboard Systems,3.195767195767196,2.0,3.0,
Evaluation Records across Leaderboard Systems,179.5347721822542,23.0,46.0,0.8725289183340852
Leaderboard Systems across Downloadable Formats,8.666666666666666,2.5,3.25,0.8000000000000003
Leaderboard Systems across Evaluated Models,1.5307232191408373,1.0,1.0,0.2461248524222112
Leaderboard Systems across Evaluation Metrics,2.2706766917293235,1.0,1.0,0.5010621017118615
Leaderboard Systems across Evaluation Workflows,32.857142857142854,17.0,48.0,0.644927536231884
Leaderboard Systems across Organization Strategies,19.9,5.5,10.0,0.7865644009521292
Leaderboard Systems across Platforms,116.5,98.0,57.5,0.2761087267525035
Leaderboard Systems across Presentation Formats,56.0,5.0,27.0,0.8344780219780221
Leaderboard Systems across Publication Venues,3.8548387096774195,1.0,1.0,0.6442828726250079
Leaderboard Systems across Release Organizations,3.5700934579439254,1.0,1.0,0.6287269867020674
Leaderboard Systems across Submission & Collection Avenues,13.083333333333334,4.0,8.75,0.715112912565142
Leaderboard Systems across Supported Benchmarks,1.607976653696498,1.0,1.0,0.3135210184074148
Leaderboard Systems across Supported Languages,5.359477124183006,2.0,2.0,0.7056322207958896
Leaderboard Systems across Supported Modalities,99.16666666666669,36.5,46.75,0.755294117647059
Leaderboards across Multi-split Leaderboard Systems,6.597590361445783,1.0,1.0,
Organization Strategies across Leaderboard Systems,1.3445945945945943,1.0,0.0,
Platforms across Leaderboard Systems,1.1175059952038369,1.0,0.0,
Presentation Formats across Leaderboard Systems,1.6954436450839327,2.0,1.0,
Release Organizations across Leaderboard Systems,2.5219298245614037,2.0,2.0,
Supported Benchmarks across Leaderboard Systems,3.964028776978417,1.0,0.0,
Supported Languages across Leaderboard Systems,1.9664268585131897,1.0,0.0,
Supported Modalities across Leaderboard Systems,1.4268585131894485,1.0,1.0,
