Leaderboard,Modality,Language,GitHub,HuggingFace,PapersWithCode,AI2,Self-hosted,#Leaderboards by categories,#Empty leaderboards by category,#Benchmark,#Metrics,Evalution harness,#Submission,#Model,#Scenario,Last update
A-OKVQA,image,English,no,no,no,yes,no,1,0,1,2,,249,249,1,today
ActivityNet-QA,video,English,no,no,yes,no,no,2,0,1,1,,29,,1,today
AFQMC,text,Chinese,no,no,yes,no,no,1,0,1,1,,2,2,1,today
AgentBench,text,English,yes,no,no,no,yes,1,0,3,1,,25,25,8,11/7/2023
AlpacaEval,text,English,yes,no,no,no,no,2,0,1,1,,104,74,2,11/9/2023
ANGO,text,Chinese,no,yes,no,no,no,3,0,1,6,,57,19,3,9/27/2023
aNLG,text,English,no,no,no,yes,no,1,0,1,6,,8,8,1,today
aNLI,text,English,no,no,no,yes,no,1,0,1,1,,121,121,1,today
APPS,code,English,no,no,yes,no,no,1,0,1,4,,12,12,3,today
ARC,text,"English,Chinese",no,no,yes,yes,no,3,0,1,1,,96,,2,today
ARC-DA,text,English,no,no,no,yes,no,1,0,1,6,,6,6,1,today
BEIR,text,English,no,no,yes,no,no,19,0,18,5,,125,,9,today
Big Code Models Leaderboard,code,English,no,yes,no,no,no,1,0,2,4,bigcode,39,39,15,11/14/2023
BIG-Bench,text,English,no,no,yes,no,no,126,0,1,1,,295,,204,today
BioASQ-QA,text,English,no,no,yes,no,no,1,0,1,1,,6,6,1,today
BoolQ,text,English,no,no,yes,no,no,2,0,1,1,,44,,1,today
BotChat,text,English,yes,yes,no,no,no,1,0,1,3,,14,14,2,11/2/2023
C-Eval,text,Chinese,yes,no,no,no,yes,2,0,1,1,,105,105,5,today
C3,text,Chinese,no,no,yes,no,no,3,0,1,1,,3,,1,today
CCBench,image,Chinese,no,yes,no,no,yes,4,1,1,1,,19,19,7,today
CG-Eval,text,Chinese,no,no,no,no,yes,1,0,1,1,,31,31,6,today
Chatbot Arena Leaderboad,text,English,no,yes,no,no,yes,1,0,3,3,,49,49,3,11/22/2023
ChEF,image,English,yes,no,no,no,no,3,0,9,5,,23,11,6,11/6/2023
CHID,text,Chinese,no,no,yes,no,no,4,0,1,1,,5,,1,today
CLiB,text,Chinese,yes,no,no,no,no,6,0,1,1,,50,50,4,11/22/2023
CLUE,text,English,no,no,yes,no,no,5,0,12,3,,10,2,11,today
CMMLU,text,Chinese,yes,no,no,no,no,2,0,1,1,,27,,5,11/13/2023
CMNLI,text,Chinese,no,no,yes,no,no,1,0,1,1,,2,2,1,today
CMRC2018,text,English,no,no,yes,no,no,3,0,1,1,,3,1,1,today
CoLA,text,English,no,no,yes,no,no,2,0,1,2,,38,38,1,today
CommitmentBank,text,English,no,no,yes,no,no,1,0,1,2,,13,13,1,today
CommonSenseQA,text,English,no,no,yes,yes,no,1,0,1,1,,273,273,1,today
COPA,text,English,no,no,yes,no,no,2,0,1,1,,22,22,1,today
CoQA,text,English,no,no,yes,no,no,1,0,1,1,,9,9,2,today
CosmosQA,text,English,no,no,no,yes,no,1,0,1,1,,82,82,1,today
CQADupStack,text,English,no,no,yes,no,no,1,0,1,1,,2,2,1,today
CRASS,text,English,no,no,yes,no,no,1,0,1,1,,4,4,1,today
