Leaderboard,Modality,Language,#Leaderboards by categories,#Empty leaderboards by category,#Benchmark,#Metrics,Evalution harness,#Submission,#Model,#Scenario,Last update,Source
A-OKVQA,image,English,1,0,1.0,2,,249,249.0,1,today,AI2
ActivityNet-QA,video,English,2,0,1.0,1,,29,,1,today,PapersWithCode
AFQMC,text,Chinese,1,0,1.0,1,,2,2.0,1,today,PapersWithCode
AgentBench,text,English,1,0,3.0,1,,25,25.0,8,11/7/2023,GitHub
AgentBench,text,English,1,0,3.0,1,,25,25.0,8,11/7/2023,Self-hosted
AlpacaEval,text,English,2,0,1.0,1,,104,74.0,2,11/9/2023,GitHub
ANGO,text,Chinese,3,0,1.0,6,,57,19.0,3,9/27/2023,HuggingFace
aNLG,text,English,1,0,1.0,6,,8,8.0,1,today,AI2
aNLI,text,English,1,0,1.0,1,,121,121.0,1,today,AI2
APPS,code,English,1,0,1.0,4,,12,12.0,3,today,PapersWithCode
ARC,text,"English,Chinese",3,0,1.0,1,,96,,2,today,PapersWithCode
ARC,text,"English,Chinese",3,0,1.0,1,,96,,2,today,AI2
ARC-DA,text,English,1,0,1.0,6,,6,6.0,1,today,AI2
BEIR,text,English,19,0,18.0,5,,125,,9,today,PapersWithCode
Big Code Models Leaderboard,code,English,1,0,2.0,4,bigcode,39,39.0,15,11/14/2023,HuggingFace
BIG-Bench,text,English,126,0,1.0,1,,295,,204,today,PapersWithCode
BioASQ-QA,text,English,1,0,1.0,1,,6,6.0,1,today,PapersWithCode
BoolQ,text,English,2,0,1.0,1,,44,,1,today,PapersWithCode
BotChat,text,English,1,0,1.0,3,,14,14.0,2,11/2/2023,GitHub
BotChat,text,English,1,0,1.0,3,,14,14.0,2,11/2/2023,HuggingFace
C-Eval,text,Chinese,2,0,1.0,1,,105,105.0,5,today,GitHub
C-Eval,text,Chinese,2,0,1.0,1,,105,105.0,5,today,Self-hosted
C3,text,Chinese,3,0,1.0,1,,3,,1,today,PapersWithCode
CCBench,image,Chinese,4,1,1.0,1,,19,19.0,7,today,HuggingFace
CCBench,image,Chinese,4,1,1.0,1,,19,19.0,7,today,Self-hosted
CG-Eval,text,Chinese,1,0,1.0,1,,31,31.0,6,today,Self-hosted
Chatbot Arena Leaderboad,text,English,1,0,3.0,3,,49,49.0,3,11/22/2023,HuggingFace
Chatbot Arena Leaderboad,text,English,1,0,3.0,3,,49,49.0,3,11/22/2023,Self-hosted
ChEF,image,English,3,0,9.0,5,,23,11.0,6,11/6/2023,GitHub
CHID,text,Chinese,3,0,1.0,1,,5,,1,today,PapersWithCode
CLiB,text,Chinese,6,0,1.0,1,,50,50.0,4,11/22/2023,GitHub
CLUE,text,English,5,0,12.0,3,,10,2.0,11,today,PapersWithCode
CMMLU,text,Chinese,2,0,1.0,1,,27,,5,11/13/2023,GitHub
CMNLI,text,Chinese,1,0,1.0,1,,2,2.0,1,today,PapersWithCode
CMRC2018,text,English,3,0,1.0,1,,3,1.0,1,today,PapersWithCode
CoLA,text,English,2,0,1.0,2,,38,38.0,1,today,PapersWithCode
CommitmentBank,text,English,1,0,1.0,2,,13,13.0,1,today,PapersWithCode
CommonSenseQA,text,English,1,0,1.0,1,,273,273.0,1,today,PapersWithCode
CommonSenseQA,text,English,1,0,1.0,1,,273,273.0,1,today,AI2
COPA,text,English,2,0,1.0,1,,22,22.0,1,today,PapersWithCode
CoQA,text,English,1,0,1.0,1,,9,9.0,2,today,PapersWithCode
CosmosQA,text,English,1,0,1.0,1,,82,82.0,1,today,AI2
CQADupStack,text,English,1,0,1.0,1,,2,2.0,1,today,PapersWithCode
CRASS,text,English,1,0,1.0,1,,4,4.0,1,today,PapersWithCode
CrowS-Pairs,text,English,1,0,1.0,1,,4,4.0,9,today,PapersWithCode
CWQ,text,English,1,0,1.0,3,,5,5.0,1,today,PapersWithCode
DocVQA,image,English,1,0,1.0,2,,28,28.0,1,today,PapersWithCode
DRCD,text,English,3,0,1.0,1,,3,1.0,1,today,PapersWithCode
DROP,text,English,3,0,1.0,3,,56,,1,today,PapersWithCode
DROP,text,English,3,0,1.0,3,,56,,1,today,AI2
DuReader,text,English,3,0,1.0,1,,3,1.0,1,today,PapersWithCode
EPRSTMT,text,Chinese,1,0,1.0,1,,2,2.0,1,today,PapersWithCode
EvalPlus,code,English,2,0,2.0,1,evalplus,65,42.0,2,11/24/2023,GitHub
FacTool,text,English,1,0,5.0,2,,5,5.0,4,today,GitHub
FActScore,text,English,1,0,1.0,4,,12,12.0,4,today,GitHub
