Category,Evaluated Model,Evaluation Benchmark,Evaluation Metric,Evaluation Setup,Evaluation Record,Evaluation Scenario,Leaderboard Status
Chart Demonstration,,,,,,,H
Deprecated Entity,,,,,,,I
Dynamic Evaluation,,,,H,,,
Idle Entity,,H,,,,,H
Inaccessible Entity,,,,,,,I
Malfunctioning Demonstration,,,,I,I,,I
Misleading Documentation,I,I,I,I,I,I,
Missing Documentation,,,I,I,I,I,I
Missing Entity,,,,,I,I,
Missing Provenance,I,I,,,,,
Obscure Concept,,,H,,,,
Redundant Entity,I,,,,I,,I
Temporary Suspension,,,,,,,I
Undownloadable Entity,,,,,,,H
