Leaderboard name,#Empty leaderboards (non-pwc),Display format (non-pwc),Feedback manners (iw),Host platforms,Host platforms with leaderboard downloading functionality (non-pwc),Host platforms with model linkage (non-pwc),Publishing organizations (non-pwc),Publishing venues,Structuring strategies (non-pwc),Submission artifacts (non-pwc),Submission manners (non-pwc),Supported languages,Supported modalities
A-OKVQA,,,,pwc,,,,ECCV,,,,English,"Text,Image"
A-OKVQA,,iw:Sortable Table+Scatter Plot,Contact,iw,iw,iw,Allen Institute for AI,ECCV,,Prediction Results,Submission Portal,English,"Text,Image"
ACE (2005),,,,pwc,,,,AAAI,,,,English,Text
ActivityNet,,,,pwc,,,,CVPR,,,,English,"Text,Video"
ActivityNet Captions,,,,pwc,,,,ICCV,,,,English,"Text,Video"
ActivityNet-QA,,,,pwc,,,,AAAI,,,,English,"Text,Video"
ADE20K,,,,pwc,,,,IJCV,,,,English,"Text,Image"
AgentBench,,"gh:Bar Chart+Table Screenshot,iw:Regular Table",,"gh,iw",,,"Tsinghua University,Ohio State University,University of California Berkeley",Preprint,,,,English,Text
AI2D,,,,pwc,,,,ECCV,,,,English,"Text,Image"
AI2D,,,,pwc,,,,ECCV,,,,English,"Text,Image"
AISHELL-1,,,,pwc,,,,O-COCOSDA,,,,Chinese,"Text,Audio"
AlignBench,,"gh:Regular Table,iw:Regular Table",,"gh,iw",,,"Tsinghua University,Zhipu AI,Renmin University of China,Sichuan University,Lehigh University",Preprint,Evaluator,Prediction Results,Submission Portal,Chinese,Text
AlpacaEval (v2),,gh:Regular Table,,gh,gh,gh,Stanford University,,"Aggregated Result,Evaluator,Leaderboard Version",Evaluation Results+Prediction Results+Model Configuration,Pull Request,English,Text
Amazon Review,,,,pwc,,,,,,,,English,Text
ANGO,,hf:Sortable Table,,hf,,,Independent Contributor,Preprint,Supported Functionality,Evaluation Results+Prediction Results,Pull Request,Chinese,Text
ANLI,,,,pwc,,,,ACL,,,,English,Text
ANLI,,gh:Regular Table,,gh,,gh,"University of North Carolina Chapel Hill,Meta",ACL,,Prediction Results+Publication+Model Repository,"Email,Pull Request",English,Text
APPS,,,,pwc,,,,NeurIPS,,,,English,"Text,Code"
ARC,,,,pwc,,,,Preprint,,,,"English,Chinese",Text
ARC,,iw:Sortable Table+Scatter Plot,Contact,iw,iw,iw,Allen Institute for AI,Preprint,,Prediction Results,Submission Portal,"English,Chinese",Text
ASDiv,,,,pwc,,,,ACL,,,,English,Text
AudioCaps,,,,pwc,,,,NAAC,,,,English,"Text,Audio"
AVA,,,,pwc,,,,CVPR,,,,English,"Text,Video"
BANKING77,,,,pwc,,,,NLP4ConvAI,,,,English,Text
BBH,,,,pwc,,,,ACL,,,,English,"Text,Image"
BEIR,,,,pwc,,,,NeurIPS,,,,English,Text
BenchLMM,,,,pwc,,,,Preprint,,,,English,"Text,Image"
BenchLMM,,gh:Table Screenshot,,gh,,,"Nanyang Technological University,University of Technology Sydney,Northeastern University,Mohamed bin Zayed University of AI,Zhejiang University",Preprint,Task,,,English,"Text,Image"
Big Code Models Leaderboard,,hf:Sortable Table+Scatter Plot,,hf,hf,hf,BigCode,,Aggregated Result,Prediction Results+Evaluation Results,Pull Request,English,"Text,Code"
BIG-Bench,,,,pwc,,,,TMLR,,,,English,"Text,Code,Image"
BioASQ,,,,pwc,,,,AAAI,,,,English,Text
BIRD,,gh:Regular Table,,gh,,gh,"University of Hong Kong,Alibaba Group DAMO Academy,Tsinghua University,Shanghai AI Laboratory,Massachusetts Institute of Technology,Chinese University of Hong Kong,University of Illinois Urbana Champaign",NeurIPS,Evaluation Metric,"Inference API,Model Repository",Email,English,"Text,Code"
BoolQ,,,,pwc,,,,NAACL,,,,English,Text
BotChat,,gh:Regular Table,,gh,,gh,"Shanghai AI Laboratory,Fudan University,Shanghai Jiao Tong University,Chinese University of Hong Kong",Preprint,Aggregated Result,,,English,Text
C-Eval,,"gh:Regular Table,iw:Sortable Table",,"gh,iw",,iw,"Shanghai Jiao Tong University,Tsinghua University,University of Edinburgh,Hong Kong University of Science and Technology",Preprint,"#Prompt Example,Model Accessibility,Evaluation Dataset",Prediction Results,Submission Portal+Questionaire,Chinese,Text
C-Eval Hard,,gh:Regular Table,,gh,,,"Shanghai Jiao Tong University,Tsinghua University,University of Edinburgh,Hong Kong University of Science and Technology",Preprint,,,,Chinese,Text
CanAiCode Leaderboard,,hf:Sortable Table,,hf,gh,hf,Independent Contributor,,"Aggregated Result,Task,Evaluation Dataset",?,"Pull Request,Issue",English,"Text,Code"
CB,,,,pwc,,,,Sinn und Bedeutung,,,,English,Text
CCBench,2,"hf:Sortable Table,iw:Sortable Table",,"hf,iw",,"hf,iw","Shanghai AI Laboratory,Nanyang Technological University,Chinese University of Hong Kong,National University of Singapore,Zhejiang University",Preprint,Model Accessibility,Prediction Results,Submission Portal,Chinese,"Text,Image"
CCEval,,gh:Table Screenshot,,gh,,,"Columbia University,Amazon AWS AI Lab",NeurIPS,Task,,,English,"Text,Code"
CFQ,,,,pwc,,,,ICLR,,,,English,Text
CG-Eval,,iw:Regular Table,"Contact,Issue",iw,,iw,"Besteasy,LanguageX AI Lab",Preprint,,Prediction Results,Submission Portal,Chinese,Text
Charades,,,,pwc,,,,ECCV,,,,English,"Text,Video"
ChartQA,,,,pwc,,,,ACL,,,,English,"Text,Image"
Chatbot Arena Leaderboard,,"hf:Sortable Table+Scatter Plot+Bar Chart,iw:Sortable Table",,"hf,iw",,"hf,iw","University of California Berkeley,University of California San Diego,Carnegie Mellon University,Stanford University,Mohamed bin Zayed University of AI",Preprint,Evaluation Metric,"Inference API+Model Configuration,Model Repository+Model Configuration",Pull Request,English,Text
ChEF,,gh:Regular Table,,gh,,,"Shanghai AI Laboratory,Beihang University,University of Sydney",Preprint,"Supported Functionality,Model Accessibility,Supported Modality",,,English,"Text,Image"
ChineseFactEval,,gh:Regular Table,,gh,,,"Shanghai Jiao Tong University,Shanghai AI Laboratory",Preprint,,,,English,Text
CIFAR-10,,,,pwc,,,,Preprint,,,,English,"Text,Image"
Civil Comments,,,,pwc,,,,WWW,,,,English,Text
CLEVA,,iw:Sortable Table+Bar Chart,"Contact,Issue",iw,,,"Chinese University of Hong Kong,Shanghai AI Laboratory",EMNLP,"Aggregated Result,Task",Inference API,"Questionaire,Email",English,"Text,Code"
CLiB,,gh:Regular Table,,gh,,,Independent Contributor,,"Aggregated Result,Supported Functionality,Model Size",,,Chinese,Text
Clotho,,,,pwc,,,,ICASSP,,,,English,"Text,Audio"
CLUE,,,,pwc,,,,COLING,,,,Chinese,Text
CMB,,iw:Regular Table,"Contact,Issue",iw,,,"Chinese University of Hong Kong,Shenzhen Research Institute of Big Data",Preprint,Task,Prediction Results,Email,Chinese,Text
CMMLU,,gh:Regular Table,,gh,,gh,"Mohamed bin Zayed University of AI,Shanghai Jiao Tong University,Microsoft Research Asia,University of Melbourne",Preprint,#Prompt Example,Model Configuration+Evaluation Results,"Email,Pull Request",Chinese,Text
