Distribution|Property,Mean,Median,Standard Deviation,Interquartile Range,Gini Coefficient
Display Formats across Leaderboards,1.7262247838616716,2.0,0.5552768981526887,1.0,
Evaluated Models across Leaderboards,48.74063400576369,16.0,236.08018137412205,25.0,
Evaluation Metrics across Leaderboards,3.155172413793104,2.0,3.310389726707005,3.0,
Evaluation Records across Leaderboards,161.10662824207492,23.0,986.7886334338384,48.0,0.858841519400734
Host Platforms across Leaderboards,1.100864553314121,1.0,0.3372619905089981,0.0,
Leaderboards across Display Formats,56.09090909090909,2.0,91.35092629818917,56.0,0.8142625607779582
Leaderboards across Evaluated Models,1.3467908902691512,1.0,1.265789767574614,0.0,0.2272193471689629
Leaderboards across Evaluation Metrics,2.240816326530612,1.0,5.19842669948683,1.0,0.4944608677476226
Leaderboards across Host Platforms,95.5,86.0,53.41114115987413,57.5,0.406631762652705
Leaderboards across Organization Tactics,8.35,4.5,8.872851852702151,9.5,0.5606681374093919
Leaderboards across Publishing Organizations,2.3932038834951457,1.0,2.999312611732485,1.0,0.4693909859991093
Leaderboards across Publishing Venues,3.980392156862745,1.0,6.121291021327251,2.5,0.6248275862068975
Leaderboards across Submission Artifacts,20.428571428571427,4.0,47.88186994455997,5.75,0.8574502420656265
Leaderboards across Submission Media,65.0,25.5,75.43076295517632,138.75,0.6526495726495726
Leaderboards across Supported Benchmarks,1.5256696428571428,1.0,1.240773807292916,1.0,0.2826733907385947
Leaderboards across Supported Languages,4.66887417218543,2.0,25.42010516136058,2.0,0.6758581560283706
Leaderboards across Supported Modalities,83.5,32.0,119.5013946920007,41.25,0.7485029940119762
Organization Tactics across Leaderboards,1.988095238095238,2.0,1.3046989035884653,2.0,
Publishing Organizations across Leaderboards,2.815028901734104,2.0,3.3175665962497227,3.0,
Splits across Multi-split Leaderboards,7.138728323699422,1.0,51.22209774896773,1.0,
Submission Media across Leaderboards,1.873198847262248,3.0,1.2548703381812347,2.0,
Supported Benchmarks across Leaderboards,3.939481268011528,1.0,13.608961396023856,0.0,
Supported Languages across Leaderboards,2.031700288184438,1.0,8.48810853171635,0.0,
Supported Modalities across Leaderboards,1.4438040345821326,1.0,0.5250337677471691,1.0,
